Symbol,Name,Inception,Structure,Tracks This Index,Index Description,Category,Provider,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,Asset Class,Asset Class Size,Asset Class Style,Region,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Health Care,Industrials,Real Estate,Technology,Utilities,Leveraged,Inverse,Top Holdings,Chart,,,,,,,,,,,,,
TNDQ,NASDAQ-100 Trendpilot ETN,2011-12-13,ETN,RBS NASDAQ-100 Trendpilot Index,"The index tracks either the NASDAQ-100 Total Return Index or the yield on a hypothetical notional investment in 3-month U.S. Treasury bills as of the most recent weekly auction, depending on the relative performance of the NASDAQ-100 TR Index on a simple historical moving average basis.",Large Cap Growth Equities,RBS,1.00%,,,$13.70 ,0.4," 11,262 ", 1.07 ,Equity,Large-Cap,Growth,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TOK,MSCI KLD 400 Social ETF,2007-12-10,ETF,MSCI Kokusai Index,"The Index is designed to measure equity market performance in those countries MSCI has classified as having developed economies, excluding Japan.",Global Equities,iShares,0.25%,$0.59,2.41%,$469.90 ,9," 28,058 ", 1.05 ,Equity,Large-Cap,Blend,Developed Markets,5.43%,4.59%,10.36%,10.76%,10.44%,17.81%,11.69%,9.38%,2.88%,11.31%,3.33%,,,click,click,,,,,,,,,,,,,
TOTS,Daily Total Market Bear 1X Shares,2011-06-15,ETF,MSCI US Broad Market Index (-100%),The index which represents 99.5% or more of the total market capitalization of all of the U.S. common stocks regularly traded on the New York and American Stock Exchanges and the Nasdaq over-the-counter market.,Inverse Equities,Direxion,0.65%,$2.00,,$1.10 ,0.1," 1,461 ", (1.29),Equity,Multi-Cap,Blend,North America,,,,,,,,,,,,,Yes,click,click,,,,,,,,,,,,,
TPS,UltraShort TIPS,2011-02-10,ETF,Barclays Capital U.S. Treasury Inflation Protected Securities (TIPS) Index (Series-L)  (-200%),"The Barclays Capital U.S. Treasury Inflation Protected Securities (TIPS) Index (Series-L) includes all publicly issued, U.S. Treasury inflation protected securities (&quot;TIPS&quot;) that have at least one year remaining maturity, are non-convertible, are denominated in U.S. dollars, are rated investment grade (at least Baa3 by Moody's Investors Service or BBB- by S&amp;P), are fixed rate, and have more than $250 million or more par value outstanding.",Leveraged Bonds,ProShares,0.95%,,,$13.60 ,0.5," 5,484 ", 1.16 ,Bond,,,,,,,,,,,,,,,2x,Yes,click,click,,,,,,,,,,,,,
TQQQ,UltraPro QQQ,2010-02-09,ETF,NASDAQ-100 Index (300%),The Index includes 100 of the largest domestic and international nonfinancial companies listed on the Nasdaq Stock Market based on market capitalization.,Leveraged Equities,ProShares,0.95%,,,$550.00 ,4.5," 1,269,845 ", 3.35 ,Equity,Large-Cap,Growth,North America,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
TRND,US Large Cap Trendpilot ETN,2010-12-08,ETN,RBS US Large Cap Trendpilot Index,"The index utilizes a systematic trend-following strategy to provide exposure to either the S&amp;P 500 Total Return Index or the yield on a hypothetical notional investment in 3-month U.S. Treasury bills, depending on the relative performance of the S&amp;P 500 on a simple historical moving average basis.",Large Cap Blend Equities,RBS,1.00%,,,$103.20 ,2.9," 55,759 ", 0.99 ,Equity,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TRNM,US Mid Cap Trendpilot ETN,2011-01-27,ETN,RBS US Mid Cap Trendpilot Index,The index utilizes a systematic trend-following strategy to provide exposure to either the S&amp;P Midcap 400 Total Return Index or the yield on a hypothetical notional Investment in 3-month U.S. Treasury bills.,Mid Cap Blend Equities,RBS,1.00%,,,$44.80 ,1.4," 22,452 ", 1.20 ,Equity,Mid-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TRSK,VelocityShares Tail Risk Hedged Large Cap ETF,2013-06-21,ETF,VelocityShares Tail Risk  Hedged Large Cap Index,"The index strategy is designed to hedge &quot;tail risk&quot; in the S&amp;P 500. The volatility component of the index reflects both long and short exposure to short term VIX futures. The volatility strategy targets a net long volatility exposure, through market movement in VIX futures will result in differing allocations on any given day.",Volatility,VelocityShares,0.71%,$0.40,1.46%,$1.40 ,0.1," 9,829 ", 1.03 ,Multi-Asset,Large-Cap,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TRSY,Broad U.S. Treasury Index Fund,2010-11-02,ETF,BofA Merrill Lynch Liquid US Treasury Index,"The index is an unmanaged index that tracks the performance of the three most recently issued 2-year, 3- year, 5-year, 7-year, 10-year and 30-year U.S. Treasury notes and bonds.",Government Bonds,PIMCO,0.15%,$0.13,2.17%,$7.90 ,0.1, 285 , (0.88),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TRXT,Total Return Exchange-Traded Fund,2012-03-01,ETF,,This ETF is not linked to a specific benchmark.,Total Bond Market,PIMCO,0.55%,,,$287.70 ,2.8,, -   ,Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TSXV,S&P/TSX Venture 30 Canada ETF,2011-03-17,ETF,S&P/TSX Venture 30 Index,"The index is a free-float adjusted, modified capitalization-weighted index designed to provide exposure to the 30 most liquid securities of the TSX Venture Exchange.",Commodity Producers Equities,Global X,0.75%,$0.29,2.98%,$1.90 ,0.2," 1,933 ", 2.17 ,Equity,Small-Cap,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TTFS,TrimTabs Float Shrink ETF,2011-10-05,ETF,,This ETF is not linked to a specific benchmark.,All Cap Equities,AdvisorShares,0.99%,$0.34,0.70%,$96.30 ,2," 31,322 ", 1.02 ,Equity,Multi-Cap,Blend,North America,3.82%,3.33%,27.00%,3.90%,0.89%,18.07%,9.74%,18.14%,0.00%,13.93%,1.00%,,,click,click,,,,,,,,,,,,,
TTH,HOLDRS Merrill Lynch Telecom,2000-01-31,Grantor Trust,,This ETF is not linked to a specific benchmark.,Communications Equities,Merrill Lynch HOLDRs,,$0.00,4.38%,$132.90 ,4.6," 26,694 ", 0.65 ,Equity,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TTT,UltraPro Short 20+ Year Treasury,2012-03-27,ETF,Barclays Capital U.S. 20+ Year Treasury Index (-300%),This index measures the performance of U.S. Treasury securities that have a remaining maturity of at least 20 years.,Leveraged Bonds,ProShares,0.95%,,,$116.60 ,1.2," 35,506 ", 3.73 ,Bond,,,,,,,,,,,,,,,3x,Yes,click,click,,,,,,,,,,,,,
TUR,MSCI Turkey ETF,2008-03-26,ETF,MSCI Turkey Investable Market Index,The index measures the performance of the Turkish equity market.,Emerging Markets Equities,iShares,0.60%,$1.12,2.50%,$397.70 ,8.9," 345,516 ", (4.13),Equity,,,Emerging Europe,6.67%,7.42%,4.64%,11.92%,4.11%,41.67%,0.22%,17.07%,2.39%,2.31%,0.34%,,,click,click,,,,,,,,,,,,,
TUZ,1-3 Year US Treasury Index Fund,2009-06-01,ETF,BofA Merrill Lynch 1-3 Year US Treasury Index,The BofA Merrill Lynch 1-3 US Year Treasury Index is an unmanaged index that tracks the performance of the direct sovereign debt of the U.S. Government having a maturity of at least one year and less than three years. It is not possible to invest directly in an unmanaged index.,Government Bonds,PIMCO,0.09%,$0.01,0.29%,$122.10 ,2.4," 36,252 ", (0.06),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TWM,UltraShort Russell2000,2007-01-23,ETF,Russell 2000 Index (-200%),"The Russell 2000 Index measures the performance of the small-cap segment of the U.S. equity universe and is comprised of the smallest 2000 companies in the Russell 3000 Index, representing approximately 10% of the total market capitalization of that Index. It includes approximately 2000 of the smallest securities based on a combination of their market cap and current index membership.",Leveraged Equities,ProShares,0.95%,$25.07,,$251.90 ,20.9," 1,958,805 ", (2.81),Equity,Small-Cap,Blend,North America,,,,,,,,,,,,2x,Yes,click,click,,,,,,,,,,,,,
TWOK,SPDR Russell 2000 ETF,2013-07-08,ETF,Russell 2000 Index,"The Russell 2000 Index measures the performance of the small-cap segment of the U.S. equity universe and is comprised of the smallest 2000 companies in the Russell 3000 Index, representing approximately 10% of the total market capitalization of that Index. It includes approximately 2000 of the smallest securities based on a combination of their market cap and current index membership.",Small Cap Blend Equities,State Street SPDR,0.18%,$0.33,0.69%,$62.00 ,0.9," 19,155 ", 1.47 ,Equity,Small-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TWOL,Daily 2-Year Treasury Bull 3x Shares,2010-02-25,ETF,NYSE Arca Current 2-Year U.S. Treasury Index (300%),The NYSE Arca Current 2-Year U.S. Treasury Index tracks the most recently issued 2-year U.S. Treasury note.,Leveraged Bonds,Direxion,0.95%,,,$0.00 ,0,,,Bond,,,,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
TWON,IQ Taiwan Small Cap ETF,2010-05-19,ETF,IQ Taiwan Small Cap Index,The market cap-weighted Index seeks to provide investors with a means of tracking the overall performance of the small capitalization sector of publicly traded companies domiciled and primarily listed on an exchange in Taiwan.,Asia Pacific Equities,IndexIQ,0.79%,$0.54,2.73%,$2.00 ,0.1," 2,154 ", (1.57),Equity,Small-Cap,,Developed Asia Pacific,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TWOZ,Daily 2-Year Treasury Bear 3x Shares,2010-02-25,ETF,NYSE Arca Current 2-Year U.S. Treasury Index (-300%),The NYSE Arca Current 2-Year U.S. Treasury Index tracks the most recently issued 2-year U.S. Treasury note.,Leveraged Bonds,Direxion,0.95%,,,$0.00 ,0,,,Bond,,,,,,,,,,,,,,,3x,Yes,click,click,,,,,,,,,,,,,
TWQ,UltraShort Russell3000,2009-06-30,ETF,Russell 3000 Index (-200%),"ProShares UltraShort Russell3000 seeks daily investment results, before fees and expenses, that correspond to twice (200%) the inverse (opposite) of the daily performance of the Russell 3000 Index.",Leveraged Equities,ProShares,0.95%,,,$0.70 ,0," 2,172 ", (2.85),Equity,,Blend,North America,,,,,,,,,,,,2x,Yes,click,click,,,,,,,,,,,,,
TWTI,Oil Trendpilot ETN,2011-09-15,ETN,RBS Oil Trendpilot Index,"The index utilizes a systematic trend-following strategy to provide exposure to either the RBS 12-Month Oil Total Return Index (USD) (the &quot;Benchmark Index&quot;) or the yield on a hypothetical notional investment in 3-month U.S. Treasury bills (the &quot;Cash Rate&quot;), depending on the relative performance of the Benchmark Index on a simple historical moving average basis.",Oil &amp; Gas,RBS,1.10%,,,$6.30 ,0.3," 1,187 ", (0.32),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TXF,Texas ETF,2009-11-02,,SPADE Texas Index,"The SPADE Texas Index is a modified market cap weighted index designed to benchmark the performance of the largest, publicly-traded companies in the State of Texas and represents the top 90% of firms by market capitalization.",Large Cap Blend Equities,Geary Advisors,0.20%,,,$0.00 ,0,,,Equity,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
TZD,Target Date 2010 ETF,2008-11-04,ETF,S&P Target Date 2010 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2010.,Target Retirement Date,iShares,0.30%,$0.03,1.77%,$8.80 ,0.3," 9,153 ", 0.67 ,Multi-Asset,,,Global,1.94%,1.50%,4.65%,3.61%,3.25%,6.37%,4.20%,4.49%,1.49%,5.04%,1.37%,,,click,click,,,,,,,,,,,,,
TZE,Target Date 2015 ETF,2008-11-04,ETF,S&P Target Date 2015 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2015.,Target Retirement Date,iShares,0.31%,$0.14,2.07%,$31.90 ,0.9," 18,689 ", 0.76 ,Multi-Asset,,,Global,2.41%,1.83%,5.73%,4.41%,3.95%,7.83%,5.14%,5.55%,3.06%,6.17%,1.69%,,,click,click,,,,,,,,,,,,,
TZG,Target Date 2020 ETF,2008-11-04,ETF,S&P Target Date 2020 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2020.,Target Retirement Date,iShares,0.32%,$0.14,2.03%,$43.10 ,1.1," 15,823 ", 0.69 ,Multi-Asset,,,Global,2.86%,2.15%,6.75%,5.17%,4.62%,9.22%,6.02%,6.56%,3.66%,7.24%,2.00%,,,click,click,,,,,,,,,,,,,
TZI,Target Date 2025 ETF,2008-11-04,ETF,S&P Target Date 2025 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2025.,Target Retirement Date,iShares,0.32%,$0.14,2.05%,$34.40 ,0.9," 10,559 ", 0.80 ,Multi-Asset,,,Global,3.26%,2.43%,7.67%,5.86%,5.23%,10.48%,6.82%,7.46%,4.17%,8.20%,2.27%,,,click,click,,,,,,,,,,,,,
TZL,Target Date 2030 ETF,2008-11-04,ETF,S&P Target Date 2030 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2030.,Target Retirement Date,iShares,0.31%,$0.14,1.99%,$31.20 ,0.8," 12,980 ", 0.76 ,Multi-Asset,,,Global,3.62%,2.69%,8.47%,6.47%,5.76%,11.58%,7.51%,8.24%,4.61%,9.04%,2.51%,,,click,click,,,,,,,,,,,,,
TZO,Target Date 2035 ETF,2008-11-04,ETF,S&P Target Date 2035 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2035.,Target Retirement Date,iShares,0.32%,$0.14,2.01%,$25.40 ,0.6," 8,689 ", 0.83 ,Multi-Asset,,,Global,3.94%,2.93%,9.20%,7.03%,6.26%,12.60%,8.15%,8.95%,4.98%,9.81%,2.72%,,,click,click,,,,,,,,,,,,,
TZV,Target Date 2040 ETF,2008-11-04,ETF,S&P Target Date 2040 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2040.,Target Retirement Date,iShares,0.29%,$0.14,1.99%,$38.90 ,0.9," 12,982 ", 0.94 ,Multi-Asset,,,Global,4.19%,3.11%,9.74%,7.45%,6.63%,13.36%,8.62%,9.47%,5.24%,10.38%,2.89%,,,click,click,,,,,,,,,,,,,
TZW,Target Date 2045 ETF,2011-08-18,ETF,S&P Target Date 2045 Index,This index seeks to represent asset allocations for investors with a target retirement horizon on or around 2045.,Target Retirement Date,iShares,0.32%,$0.07,1.86%,$5.10 ,0.2," 5,387 ", 0.95 ,Multi-Asset,,,,4.38%,3.29%,10.22%,7.82%,6.95%,14.00%,9.00%,9.88%,5.43%,10.86%,3.03%,,,click,click,,,,,,,,,,,,,
TZY,Target Date 2050 ETF,2011-08-18,ETF,S&P Target Date 2050 Index,The index seeks to represent asset allocations for investors with a target retirement horizon on or around 2050.,Target Retirement Date,iShares,0.33%,$0.10,1.90%,$8.50 ,0.3," 6,769 ", 0.93 ,Multi-Asset,,,,4.63%,3.49%,10.76%,8.27%,7.34%,14.78%,9.48%,10.39%,5.64%,11.43%,3.19%,,,click,click,,,,,,,,,,,,,
UAG,E-TRACS UBS Bloomberg CMCI Agric ETN,2008-04-01,ETN,UBS Bloomberg CMCI Agriculture Index Total Return,The CMCI Agriculture TR measures the collateralized returns from a basket of 10 futures contracts representing the agricultural sector. The commodity futures contracts are diversified across three constant maturities from three months up to one year.,Agricultural Commodities,UBS,0.65%,,,$12.00 ,0.5," 6,428 ", (1.10),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UBC,E-TRACS UBS Bloomberg CMCI Livestock ETN,2008-04-01,ETN,UBS Bloomberg CMCI Livestock Index Total Return,The CMCI Livestock TR measures the collateralized returns from a basket of futures contracts representing the livestock sector. The commodity futures contracts are diversified across two constant maturities of three months and six months.,Agricultural Commodities,UBS,0.65%,,,$4.50 ,0.2," 10,430 ", (5.55),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UBD,U.S. Capital Markets Bond ETF,2008-02-12,ETF,Capital Markets Bond Index,"Securities eligible for inclusion in the Index, as determined by Dorchester Capital Management LLC, the Fund's index provider, are long-term fixed-income securities (defined as those with redemption dates greater than one year from the start of the month as determined by yield to worst calculation), including U.S. Treasury securities, U.S. federal agency and other government sponsored entities' fixed-income securities, investment-grade U.S. corporate fixed income securities and U.S. agency mortgage pass-through securities such as those issued by the Government National Mortgage Association (",Total Bond Market,Guggenheim,0.27%,$0.05,1.77%,$5.30 ,0.1,, -   ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UBG,E-TRACS UBS Bloomberg CMCI Gold ETN,2008-04-01,ETN,UBS Bloomberg CMCI Gold Total Return,The CMCI Gold TR measures the collateralized returns from a basket of gold futures contracts. The commodity futures contracts are diversified across five constant maturities from three months up to three years.,Precious Metals,UBS,0.30%,,,$12.30 ,0.4," 15,722 ", (2.01),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UBM,E-TRACS UBS Bloomberg CMCI Ind Metal ETN,2008-04-01,ETN,UBS Bloomberg CMCI Industrial Metals Index Total Return,The CMCI Industrial Metals TR measures the collateralized returns from a basket of five futures contracts representing the industrial metals sector. The commodity futures contracts are diversified across five constant maturities from three months up to three years.,Metals,UBS,0.65%,,,$4.70 ,0.3," 3,417 ", (1.70),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UBN,E-TRACS UBS Bloomberg CMCI Energy ETN,2008-04-01,ETN,UBS Bloomberg CMCI Energy Index Total Return,The CMCI Energy TR measures the collateralized returns from a basket of seven futures contracts representing the energy sector. The commodity futures contracts are diversified across five constant maturities from three months up to three years.,Oil &amp; Gas,UBS,0.65%,,,$7.30 ,0.5," 18,331 ", 1.69 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UBR,Ultra MSCI Brazil,2010-04-27,ETF,MSCI Brazil Index (200%),The index measures the performance of the Brazilian equity market.,Leveraged Equities,ProShares,0.95%,,,$6.80 ,0.1," 2,164 ", (5.09),Equity,Large-Cap,Blend,Latin America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UBT,Ultra 20+ Year Treasury,2010-01-19,ETF,Barclays Capital U.S. 20+ Year Treasury Index (200%),The index measures the performance of U.S. Treasury securities that have a remaining maturity of at least 20 years.,Leveraged Bonds,ProShares,0.95%,$0.06,0.18%,$17.80 ,0.4," 11,584 ", (2.52),Bond,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UCC,Ultra Consumer Services,2007-01-30,ETF,Dow Jones U.S. Consumer Services Index (200%),"ProShares Ultra Consumer Services seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Consumer Services Index.",Leveraged Equities,ProShares,0.95%,$0.08,0.33%,$28.50 ,0.4," 3,241 ", 2.33 ,Equity,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UCD,Ultra DJ-UBS Commodity,2008-11-24,Commodity Pool,Dow Jones-UBS Commodity Index (200%),"ProShares Ultra DJ-UBS Commodity seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones-UBS Commodity Index",Leveraged Commodities,ProShares,0.95%,,,$3.00 ,0.2," 1,457 ", (2.86),Commodity,,,,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UCI,E-TRACS UBS Bloomberg CMCI ETN,2008-04-01,ETN,UBS Bloomberg Constant Maturity Commodity Index Total Return,"The CMCI is the first benchmark commodity index to diversify across both commodities and maturities. The CMCI TR measures the collateralized returns from a basket of 26 commodity futures contracts representing the energy, precious metals, industrial metals, agricultural and livestock sectors. In addition, the commodity futures contracts are diversified across five constant maturities from three months up to three years.",Commodities,UBS,0.65%,,,$162.90 ,8," 51,344 ", 0.72 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UCO,Ultra DJ-UBS Crude Oil,2008-11-24,Commodity Pool,Dow Jones-UBS Crude Oil Sub-Index (200%),The index consists of futures contracts on crude oil.,Leveraged Commodities,ProShares,0.95%,,,$148.20 ,4.4," 1,337,058 ", 2.85 ,Commodity,,,,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UDN,DB USD Index Bearish,2007-02-20,Commodity Pool,Deutsche Bank Short US Dollar Index (USDX) Futures Index,"The Index is a rules-based index composed solely of short USDX futures contracts. The USDX futures contract is designed to replicate the performance of being short the US Dollar against the following currencies: Euro, Japanese Yen, British Pound, Canadian Dollar, Swedish Krona and Swiss Franc.",Currency,Invesco PowerShares,0.50%,$0.40,,$64.70 ,2.4," 22,573 ", 0.46 ,Currency,,,,,,,,,,,,,,,,Yes,click,click,,,,,,,,,,,,,
UDNT,3x Short U.S. Dollar Index Futures ETN,2011-05-24,ETN,Deutsche Bank Long U.S. Dollar Index Futures Index - Excess Return (-300%),"The index is intended to measure the performance of a long investment in U.S. Dollar Index Futures, which measures the performance of the U.S. dollar against a weighted basket of six major world currencies: the Euro, Japanese Yen, British Pound, Canadian Dollar, Swedish Krona, and Swiss Franc.",Leveraged Currency,Invesco PowerShares,0.95%,,,$1.70 ,0.1," 12,990 ", 4.23 ,Currency,,,,,,,,,,,,,,,3x,Yes,click,click,,,,,,,,,,,,,
UDOW,UltraPro Dow30,2010-02-09,ETF,Dow Jones Industrial Average (300%),The Dow Jones Industrial Average is a price-weighted index of 30 &quot;blue-chip&quot; U.S. stocks. It is the oldest continuing U.S. market index.,Leveraged Equities,ProShares,0.95%,$0.08,0.18%,$110.90 ,1," 203,116 ", 2.68 ,Equity,Large-Cap,Value,North America,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
UEM,U.S.-1 -- The Capital Markets Index ETF,2008-02-11,,,This ETF is not linked to a specific benchmark.,Diversified Portfolio,Guggenheim,0.37%,,,$0.00 ,0,,,Multi-Asset,,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UGA,United States Gasoline Fund LP,2008-02-26,Commodity Pool,Gasoline,"The investment objective of UGA is for the changes in percentage terms of the units' net asset value to reflect the changes in percentage terms of the price of gasoline as measured by the futures contract on unleaded gasoline traded on the New York Mercantile Exchange that is the near month contract to expire, except when the near month contract is within two weeks of expiration, in which case it will invest in the next month to expire, less UGA's expenses.",Oil &amp; Gas,US Commodity Funds,0.60%,,,$57.40 ,1," 22,509 ", 1.98 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UGAZ,3x Long Natural Gas ETN,2012-02-08,ETN,S&P GSCI Natural Gas Index Excess Return (300%),This index is composed entirely of natural gas futures contracts and is derived by reference to the price levels of the futures contracts on a single commodity as well as the discount or premium obtained by &quot;rolling&quot; hypothetical positions in such contracts forward as they approach delivery.,Leveraged Commodities,VelocityShares,1.65%,,,$89.70 ,3.9," 1,789,123 ", 7.65 ,Commodity,,,,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
UGE,Ultra Consumer Goods,2007-01-30,ETF,Dow Jones U.S. Consumer Goods Index (200%),"ProShares Ultra Consumer Goods seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Consumer Goods Index.",Leveraged Equities,ProShares,0.95%,$0.04,0.62%,$11.90 ,0.2," 2,802 ", 2.10 ,Equity,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UGEM,Utilities GEMS ETF,2011-06-23,ETF,Dow Jones Emerging Markets Utilities Titans Index,This index tracks 30 of the largest emerging-market companies in the Utilities Industry as defined by the Industry Classification Benchmark (ICB).,Utilities Equities,EG Shares,0.85%,$0.29,1.79%,$0.80 ,0.1," 4,958 ", 2.74 ,Equity,Large-Cap,,Emerging Markets,0.00%,0.00%,0.00%,0.00%,10.23%,1.65%,0.00%,4.35%,0.00%,0.00%,83.78%,,,click,click,,,,,,,,,,,,,
UGL,Ultra Gold,2008-12-01,Commodity Pool,Gold bullion (200%),"ProShares Ultra Gold seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of gold bullion as measured by the U.S. Dollar p.m. fixing price for delivery in London.",Leveraged Commodities,ProShares,0.95%,,,$134.20 ,3.2," 94,602 ", (3.73),Commodity,,,,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UGLD,3x Long Gold ETN,2011-10-17,ETN,S&P GSCI Gold Index ER (300%),The index offers exposure to gold futures contracts.,Leveraged Commodities,VelocityShares,1.35%,,,$25.80 ,2," 144,445 ", (5.65),Commodity,,,,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
UHN,United States Diesel Heating Oil Fund,2008-04-09,Commodity Pool,Heating oil,"The investment objective of UHN is for the changes in percentage terms of the units' net asset value to reflect the changes in percentage terms of the price of heating oil as measured by the futures contract on heating oil traded on the New York Mercantile Exchange that is the near month contract to expire, except when the near month contract is within two weeks of expiration, in which case it will invest in the next month to expire, less UHN's expenses.",Oil &amp; Gas,US Commodity Funds,0.60%,,,$5.00 ,0.2," 3,181 ", 1.52 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UINF,UltraPro 10 Year TIPS/TSY Spread,2012-02-08,ETF,Dow Jones Credit Suisse 10-Year Inflation Breakeven Index (300%),"The index tracks the performance of long positions in the most recently issued 10-year Treasury Inflation-Protected Securities (TIPS) bond and duration-adjusted short positions in U.S. Treasury notes of the closest maturity. The difference in yield between these instruments (Treasury yield minus TIPS yield) is commonly referred to as a breakeven rate of inflation (BEI), The BEI is considered to be a measure of the market�s expectations for inflation over the next ten years.",Long-Short,ProShares,0.75%,$0.03,0.08%,$1.70 ,0.1, 317 , (4.30),Alternatives,,,,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
UJB,Ultra High Yield,2011-04-14,ETF,iBoxx $ Liquid High Yield Index (200%),The index is designed to provide a broad representation of the U.S. dollar-denominated high yield liquid corporate bond market.,Leveraged Bonds,ProShares,0.95%,,,$2.80 ,0.1," 3,454 ", 0.79 ,Bond,,,,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UKF,Ultra Russell1000 Growth,2007-02-20,ETF,Russell 1000 Growth Index (200%),"ProShares Ultra Russell 1000 Growth seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 1000 Growth Index.",Leveraged Equities,ProShares,0.95%,$0.05,0.10%,$16.40 ,0.2, 590 , 1.64 ,Equity,Large-Cap,Growth,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UKK,Ultra Russell2000 Growth,2007-02-20,ETF,Russell 2000 Growth Index (200%),"ProShares Ultra Russell 2000 Growth seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 2000 Growth Index",Leveraged Equities,ProShares,0.95%,$0.01,0.01%,$14.80 ,0.2," 2,725 ", 3.87 ,Equity,Small-Cap,Growth,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UKW,Ultra Russell MidCap Growth,2007-02-20,ETF,Russell MidCap Growth Index (200%),"ProShares Ultra Russell MidCap Growth seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell MidCap Growth Index.",Leveraged Equities,ProShares,0.95%,$0.02,0.03%,$14.30 ,0.2, 869 , 1.97 ,Equity,Mid-Cap,Growth,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
ULE,Ultra Euro,2008-11-24,Commodity Pool,Euro (200%),"ProShares Ultra Euro seeks daily investment results, before fees and expenses, that correspond to twice (200%) the U.S. Dollar price of the Euro.",Leveraged Currency,ProShares,0.95%,,,$2.60 ,0.1," 3,012 ", (1.60),Currency,,,,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
